82 26 71 54 67 17 0 3 72 66 50 67 2 33 95 91 2 13 21 56 11 18 74 85 67 89 17 57 6 90 93 11 2 77 82 75 91 69 19 46 93 96 21 43 13 81 57 54 18 80 34 6 100 94 31 27 82 22 49 48 60 55 4 43 35 63 16 23 90 94 21 23 36 99 92 9 38 68 46 62 85 21 2 69 55 61 6 60 71 65 7 63 79 43 28 44 17 82 80 78 
29 79 37 7 66 64 15 15 58 33 83 30 93 15 57 79 65 57 30 13 40 37 1 8 81 10 41 45 42 16 17 49 23 100 7 70 100 30 41 59 84 93 96 84 40 14 85 98 44 74 22 97 29 15 68 88 10 77 27 23 50 38 71 92 100 67 25 18 52 9 88 58 26 71 21 78 58 78 2 99 12 29 94 29 17 82 42 32 37 17 19 100 96 53 54 44 86 3 98 41 
43 0 42 71 23 53 3 89 89 31 75 75 85 99 77 93 82 83 15 93 95 72 28 84 3 47 74 27 2 44 48 96 4 50 64 91 90 68 4 57 80 35 50 72 77 97 17 28 40 82 88 27 10 37 66 22 28 15 81 34 29 29 96 81 29 34 89 65 30 67 66 88 60 19 92 13 46 23 62 55 31 23 19 28 23 2 20 30 20 51 82 71 90 52 91 72 91 87 74 89 
26 33 7 13 28 86 67 94 27 46 64 1 42 30 3 94 27 27 63 44 90 60 93 45 51 21 56 22 21 29 25 49 3 10 87 18 56 60 13 22 67 67 10 21 67 82 11 58 74 24 67 99 62 15 96 52 93 32 48 15 17 66 85 0 70 6 47 33 15 11 5 73 27 59 22 37 79 78 53 83 53 39 28 45 96 9 74 58 65 81 14 84 72 18 86 85 9 61 85 86 
84 1 3 18 0 23 75 81 3 60 91 35 57 84 54 6 54 59 2 49 55 68 92 93 44 60 10 72 34 25 65 69 1 50 31 82 64 64 33 86 84 12 95 56 22 8 91 33 40 39 21 42 82 34 10 3 2 31 49 34 61 99 65 27 61 15 50 67 40 90 74 30 69 32 57 95 59 27 80 21 40 100 73 38 38 54 89 76 41 5 100 16 80 2 68 33 19 55 64 1 
48 32 6 20 23 87 12 34 51 13 89 43 65 73 64 60 40 12 50 20 55 35 79 49 65 72 81 17 60 60 47 17 15 50 1 84 20 89 34 1 95 64 55 78 68 29 42 54 88 3 47 6 17 97 98 40 23 56 48 10 20 64 71 96 65 32 75 76 69 0 55 87 44 58 20 53 60 98 75 68 81 85 25 75 70 12 30 7 5 85 43 19 59 34 94 34 5 73 12 44 
21 62 51 47 71 64 52 82 12 19 9 59 77 92 66 25 11 85 81 80 54 69 49 39 44 7 39 8 97 83 5 80 66 13 0 95 4 10 71 76 22 21 74 82 79 73 86 54 95 23 41 15 38 25 30 50 99 52 96 48 5 8 50 43 8 16 80 40 4 93 26 32 87 50 31 33 5 47 65 90 24 32 100 54 91 33 10 100 93 71 39 83 2 85 77 100 62 12 89 0 
10 76 29 94 19 71 93 83 19 17 33 84 5 64 54 74 10 69 27 37 27 38 44 18 5 55 81 3 59 14 6 34 91 67 78 43 90 32 67 4 71 55 94 23 80 79 48 96 73 47 78 56 20 50 45 64 65 57 80 14 1 67 5 65 46 93 4 70 64 14 71 38 0 92 82 47 86 19 87 77 78 4 40 22 62 28 82 37 46 47 36 51 96 14 41 93 14 34 6 36 
48 29 86 95 94 25 8 26 0 50 85 69 31 50 0 27 86 36 46 85 69 19 65 94 6 38 89 85 68 77 33 49 67 30 39 21 29 3 47 82 100 93 68 99 30 32 83 0 92 80 61 65 62 18 4 53 78 39 48 84 40 92 20 42 33 59 65 75 69 49 66 66 98 8 38 56 56 73 34 28 26 99 34 35 45 75 21 33 94 55 70 50 23 15 95 83 56 52 15 27 
21 38 51 36 69 2 83 50 17 60 3 69 6 26 61 42 59 100 80 20 27 17 53 32 77 60 72 76 26 97 93 50 98 2 80 47 32 39 14 72 84 57 40 17 91 1 93 7 36 100 21 11 49 67 37 95 11 84 67 36 18 91 18 84 65 39 95 64 32 21 54 10 100 13 90 87 49 43 55 14 81 19 72 95 22 97 30 75 72 29 85 9 47 21 100 59 47 83 19 9 
